id,product_id,sku,size,color_name,color_code,quantity,price,cost_price
"9283bd5e-94e2-45de-ba95-eae8a4a23440","d9cb8ffd-0a5f-46f6-b513-ec2481baf957","ZST-MID-L","L","Midnight Black","MID",50,1500,900
"f9af05b2-725a-463f-a4fc-815e4229c149","89b202cf-a705-4f44-89c3-9bb9e45fd77d","UC-PUR-M","M","Pure White","PUR",30,1200,700
"404916c4-651c-4b7c-9863-dee77c879f06","7df7375e-5e00-40e8-8b87-c9109b26bf26","SSP-NAV-L","L","Navy Blue","NAV",15,2500,1500
"380e505b-f8d2-4d43-a8bb-354503f1dfd3","eab5bf3a-a05a-457f-afbe-9517ce598131","CO-HEA-XL","XL","Heather Gray","HEA",8,3200,2000
"328baf8e-5679-4a4a-9444-3b389a05c9e7","eeec1983-4272-47bf-899b-43787583cc5b","EV-ROY-S","S","Royal Blue","ROY",25,1100,650
"94a93090-381e-46dd-aff7-146db64256f4","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BLK-S","S","Black","BLK",5,3800,2000
"d26cd79f-efb4-4bb0-a456-edb22cf254dc","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BLK-M","M","Black","BLK",10,3800,2000
"f182de1f-1c46-4a0e-963f-906886843899","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BLK-L","L","Black","BLK",10,3800,2000
"33ca4202-8a02-42d4-9fd1-be06046267e0","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BEG-S","S","Beige","BEG",5,3800,2000
"2d75cf4f-944f-43d1-a8c5-94cb7e1b847a","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BEG-M","M","Beige","BEG",10,3800,2000
"007e5382-ed73-4e94-ac37-70a942474cdd","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BEG-L","L","Beige","BEG",10,3800,2000
"681654fc-606a-4822-9426-e93129d278b8","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BRN-S","S","Brown","BRN",5,3800,2000
"22543de4-c577-48e7-a75b-9f758e1db30f","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BRN-M","M","Brown","BRN",10,3800,2000
"fd6ffeaa-b0ee-4019-a563-50088f54ab51","4e63a3f3-b9be-4480-9301-eb45dd680024","DNSBTN-BRN-L","L","Brown","BRN",10,3800,2000
